,time,summary,title,trend
417,2019-12-11,"['Aeva,', 'a', 'start-up', 'founded', 'by', 'two', 'former', 'Apple', 'engineers', 'that', 'builds', 'vision', 'sensors', 'for', 'self-driving', 'cars,', 'has', 'received...']","['Volkswagen', 'invests', 'in', 'Aeva', 'self-driving', 'vision', 'start-up']",DOWN
418,2019-12-11,"['....', 'Underlying', 'inflation', 'was', 'boosted', 'by', 'higher', 'prices', 'for', 'medical', 'care,', 'used', 'cars,', 'clothing', 'and', 'recreation,', 'while...']","['US', 'consumer', 'prices', 'exceed', 'forecasts', 'ahead', 'of', 'Fed', 'meeting']",DOWN
419,2019-12-11,"['...gearing', 'up', 'to', '“boldly', 'go”', 'into', 'orbit.', 'And', 'if', 'you', 'think', 'cars', 'made', 'out', 'of', 'paper', 'sounds', 'far-fetched,', 'check', 'in', 'with', 'Japan’s...']","['Paytm', 'pain:', 'India’s', 'biggest', 'unicorn', 'hits', 'headwinds']",DOWN
420,2019-12-11,"['...]', 'are', 'having', 'to', 'invest', 'significant', 'resources', 'in', 'automation', 'and', 'electrification', 'of', 'cars,”', 'Tata', 'is', '“uniquely', 'undersized', 'to...']","['Fund', 'managers', 'shun', 'Saudi,', 'China', 'upgrades']",DOWN
421,2019-12-11,"['...the', 'amount', 'of', 'which', 'could', 'easily', 'be', 'covered', 'in', 'the', 'blink', 'of', 'an', 'eye', 'by', 'Teodorin', 'selling', 'a', 'few', 'of', 'his', 'cars', 'in...']","['IMF', 'criticised', 'over', 'bailouts', 'for', 'central', 'Africa’s', 'petrostates']",DOWN
422,2019-12-11,"['...industries,', 'including', 'cars', 'and', 'pharmaceuticals,', 'suffering', 'double-digit', 'decreases', 'in', 'production.', 'China', 'has', 'long', 'faced...']","['Pakistan', 'revives', 'Belt-and-Road', 'projects', 'under', 'Chinese', 'pressure']",DOWN
423,2019-12-11,"['...shelter', 'indices.', 'Meanwhile,', 'so-called', 'core', 'consumer', 'prices', 'that', 'strip', 'out', 'volatile', 'items', 'like', 'food', 'and', 'petrol', 'climbed', '0.2...']","['US', 'consumer', 'prices', 'exceed', 'forecasts', 'ahead', 'of', 'Fed', 'meeting']",DOWN
424,2019-12-11,"['...rose', '18', 'per', 'cent', 'to', '$1.4bn.', 'The', 'value', 'of', 'its', 'equity', 'stake', 'in', 'Puma', 'Energy,', 'the', 'debt-laden', 'fuel', 'storage', 'and', 'petrol...']","['Trafigura', 'cuts', 'staff', 'payments', 'as', 'profits', 'flatline']",DOWN
425,2019-12-11,"['...spokesperson', 'said', 'separately:', '“A', 'Transport', 'Aircraft', 'Risk', 'Assessment', 'Methodology', 'is', 'one', 'of', 'several', 'safety', 'tools...']","['US', 'regulator', 'failed', 'to', 'ground', 'Boeing', '737', 'Max', 'despite', 'risks']",DOWN
426,2019-12-11,"['...our', 'air,”', 'he', 'said', 'in', 'his', 'mock', 'proposal', 'of', 'modern', 'transport.', '“It', 'will', 'congest', 'our', 'cities', 'to', 'the', 'point', 'of', 'inciting', 'rage...']","['Transportation', 'is', '‘broken’', '—', 'head', 'of', 'GM’s', 'driverless', 'car', 'unit']",DOWN
